30	90
60	90
90	90
120	90
150	90
180	90
210	90
240	90
270	90
300	90
330	90
360	90
390	90
420	90
450	90
480	90
510	90
540	90
570	90
600	90
640	90
30	120
30	150
30	180
30	210
30	240
30	270
30	300
30	330
30	360
30	390
30	420
30	450
30	480
30	510
30	540
30	570
30	600
30	600
60	600
90	600
120	600
150	600
180	600
210	600
240	600
270	600
300	600
330	600
360	600
390	600
420	600
450	600
480	600
510	600
540	600
570	600
600	600
640	600
640	120
640	150
640	180
640	210
640	240
640	270
640	300
640	330
640	360
640	390
640	420
640	450
640	480
640	510
640	540
640	570
640	600
110	170
110	200	
110	230
110	260
110	290
110	320
110	350
110	380
110	410
110	440
110	470
110	500
110	530
140	170
170	170
200	170
230	170
260	170
290	170
320	170
350	170
380	170
410	170
440	170
470	170
500	170
530	170
560	170
560	200
560	230
560	260
560	290
560	320
560	350
560	380
560	410
560	440
560	470
560	500
560	530
140	530
170	530
200	530
230	530
260	530
290	530
320	530
350	530
380	530
410	530
440	530
470	530
500	530
530	530
180	230
180	260
180	290
180	320
180	350
180	380
180	410
180	440
180	470
210	230
240	230
270	230
300	230
330	230
360	230
390	230
420	230
450	230
480	230
210	470
240	470
270	470
300	470
330	470
360	470
390	470
420	470
450	470
480	470
480	260
480	290
480	320
480	350
480	380
480	410
480	440


